varname,short10
Tmean_mean,Tmean_mn
Trange_diurnal_mean,Trng_d_mn
Tmean_coldestmonth_mean,Tmn_cld_mn
Tmean_coldestmonth_sd,Tmn_cld_sd
Tmean_hottestmonth_sd,Tmn_hot_sd
PPT_mean,PPT_mn
PPT_cv,PPT_cv
Rain_mean,Rain_mn
PPTinJAS_mean,PPTJAS_mn
PPT_driestmonth_mean,PPT_dry_mn
PET_cv,PET_cv
ET_cv,ET_cv
CWD_mean,CWD_mn
CWD_mon_corr_temp_mean,CWD_sst_mn
CWD_mon_cv_mean,CWD_ss_mn
DDD_mean,DDD_mn
DSI_duration_mean,DSI_dur_mn
CorTempPPT_mean,PPT_sst_mn
DeepDrainage_mean,Drain_mn
